code=231, textureId=0, prespace=0, width=7, advance=7, top=(109, 27), bottom=(116, 40)
code=232, textureId=0, prespace=0, width=7, advance=7, top=(116, 27), bottom=(123, 40)
code=233, textureId=0, prespace=0, width=7, advance=7, top=(123, 27), bottom=(130, 40)
code=234, textureId=0, prespace=0, width=7, advance=7, top=(130, 27), bottom=(137, 40)
code=235, textureId=0, prespace=0, width=7, advance=7, top=(137, 27), bottom=(144, 40)
code=236, textureId=0, prespace=0, width=4, advance=4, top=(144, 27), bottom=(148, 40)
code=237, textureId=0, prespace=0, width=4, advance=4, top=(148, 27), bottom=(152, 40)
code=238, textureId=0, prespace=0, width=6, advance=6, top=(152, 27), bottom=(158, 40)
code=239, textureId=0, prespace=0, width=5, advance=5, top=(158, 27), bottom=(163, 40)
code=240, textureId=0, prespace=0, width=7, advance=7, top=(163, 27), bottom=(170, 40)
code=241, textureId=0, prespace=0, width=7, advance=7, top=(170, 27), bottom=(177, 40)
code=242, textureId=0, prespace=0, width=7, advance=7, top=(177, 27), bottom=(184, 40)
code=243, textureId=0, prespace=0, width=7, advance=7, top=(184, 27), bottom=(191, 40)
code=244, textureId=0, prespace=0, width=7, advance=7, top=(191, 27), bottom=(198, 40)
code=245, textureId=0, prespace=0, width=7, advance=7, top=(198, 27), bottom=(205, 40)
code=246, textureId=0, prespace=0, width=7, advance=7, top=(205, 27), bottom=(212, 40)
code=247, textureId=0, prespace=0, width=13, advance=13, top=(212, 27), bottom=(225, 40)
code=248, textureId=0, prespace=0, width=7, advance=7, top=(225, 27), bottom=(232, 40)
code=249, textureId=0, prespace=0, width=7, advance=7, top=(232, 27), bottom=(239, 40)
code=250, textureId=0, prespace=0, width=7, advance=7, top=(239, 27), bottom=(246, 40)
code=251, textureId=0, prespace=0, width=7, advance=7, top=(246, 27), bottom=(253, 40)
code=252, textureId=0, prespace=0, width=7, advance=7, top=(253, 27), bottom=(260, 40)
code=253, textureId=0, prespace=0, width=6, advance=6, top=(260, 27), bottom=(266, 40)
code=254, textureId=0, prespace=0, width=6, advance=6, top=(266, 27), bottom=(272, 40)
code=255, textureId=0, prespace=0, width=6, advance=6, top=(272, 27), bottom=(278, 40)
code=257, textureId=0, prespace=0, width=6, advance=6, top=(278, 27), bottom=(284, 40)
code=260, textureId=0, prespace=0, width=9, advance=9, top=(284, 27), bottom=(293, 40)
code=261, textureId=0, prespace=0, width=7, advance=7, top=(293, 27), bottom=(300, 40)
code=262, textureId=0, prespace=0, width=9, advance=9, top=(300, 27), bottom=(309, 40)
code=263, textureId=0, prespace=0, width=7, advance=7, top=(309, 27), bottom=(316, 40)
code=275, textureId=0, prespace=0, width=7, advance=7, top=(316, 27), bottom=(323, 40)
code=280, textureId=0, prespace=0, width=7, advance=7, top=(323, 27), bottom=(330, 40)
code=281, textureId=0, prespace=0, width=7, advance=7, top=(330, 27), bottom=(337, 40)
code=283, textureId=0, prespace=0, width=7, advance=7, top=(337, 27), bottom=(344, 40)
code=299, textureId=0, prespace=0, width=5, advance=5, top=(344, 27), bottom=(349, 40)
code=321, textureId=0, prespace=0, width=7, advance=7, top=(349, 27), bottom=(356, 40)
code=322, textureId=0, prespace=0, width=4, advance=4, top=(356, 27), bottom=(360, 40)
